#name	dataset	cross_sxn(pb)	cross_sxn_err	total_evts	skimmed_dataset	skimmed_events	extra_weight
# Data	##################################################
DoubleEG_RunB_v3	/DoubleEG/Run2016B-23Sep2016-v3/MINIAOD	-	-	143073268	root://eoscms//eos/cms/store//user/	-	1.0
DoubleEG_RunC	/DoubleEG/Run2016C-23Sep2016-v1/MINIAOD	-	-	47677856	root://eoscms//eos/cms/store//user/	-	1.0
DoubleEG_RunD	/DoubleEG/Run2016D-23Sep2016-v1/MINIAOD	-	-	53324960	root://eoscms//eos/cms/store//user/	-	1.0
DoubleEG_RunE	/DoubleEG/Run2016E-23Sep2016-v1/MINIAOD	-	-	49877710	root://eoscms//eos/cms/store//user/	-	1.0
DoubleEG_RunF	/DoubleEG/Run2016F-23Sep2016-v1/MINIAOD	-	-	34577629	root://eoscms//eos/cms/store//user/	-	1.0
DoubleEG_RunG	/DoubleEG/Run2016G-23Sep2016-v1/MINIAOD	-	-	78797031	root://eoscms//eos/cms/store//user/	-	1.0
#
SingleMu_RunB_v3	/SingleMuon/Run2016B-23Sep2016-v3/MINIAOD	-	-	158145722	root://eoscms//eos/cms/store//user/	-	1.0
SingleMu_RunC	/SingleMuon/Run2016C-23Sep2016-v1/MINIAOD	-	-	67441308	root://eoscms//eos/cms/store//user/	-	1.0
SingleMu_RunD	/SingleMuon/Run2016D-23Sep2016-v1/MINIAOD	-	-	98017996	root://eoscms//eos/cms/store//user/	-	1.0
SingleMu_RunE	/SingleMuon/Run2016E-23Sep2016-v1/MINIAOD	-	-	90984718	root://eoscms//eos/cms/store//user/	-	1.0
SingleMu_RunF	/SingleMuon/Run2016F-23Sep2016-v1/MINIAOD	-	-	65489554	root://eoscms//eos/cms/store//user/	-	1.0
SingleMu_RunG	/SingleMuon/Run2016G-23Sep2016-v1/MINIAOD	-	-	149916849	root://eoscms//eos/cms/store//user/	-	1.0
#
MuEG_RunB_v3	/MuonEG/Run2016B-23Sep2016-v3/MINIAOD	-	-	32727796	root://eoscms//eos/cms/store//user/	-	1.0
MuEG_RunC	/MuonEG/Run2016C-23Sep2016-v1/MINIAOD	-	-	15405678	root://eoscms//eos/cms/store//user/	-	1.0
MuEG_RunD	/MuonEG/Run2016D-23Sep2016-v1/MINIAOD	-	-	23482352	root://eoscms//eos/cms/store//user/	-	1.0
MuEG_RunE	/MuonEG/Run2016E-23Sep2016-v1/MINIAOD	-	-	22519303	root://eoscms//eos/cms/store//user/	-	1.0
