#name	dataset	cross_sxn(pb)	cross_sxn_err	total_evts	skimmed_dataset	skimmed_events	extra_weight
# Data	##################################################
DoubleEG_RunB_v3	/DoubleEG/Run2016B-03Feb2017_ver2-v2/MINIAOD	-	-	143073268	root:	-	1.0
DoubleEG_RunC	/DoubleEG/Run2016C-03Feb2017-v1/MINIAOD	-	-	47677856	root:	-	1.0
DoubleEG_RunD	/DoubleEG/Run2016D-03Feb2017-v1/MINIAOD	-	-	53324960	root:	-	1.0
DoubleEG_RunE	/DoubleEG/Run2016E-03Feb2017-v1/MINIAOD	-	-	49877710	root:	-	1.0
DoubleEG_RunF	/DoubleEG/Run2016F-03Feb2017-v1/MINIAOD	-	-	34577629	root:	-	1.0
DoubleEG_RunG	/DoubleEG/Run2016G-03Feb2017-v1/MINIAOD	-	-	78797031	root:	-	1.0
DoubleEG_RunH_v2	/DoubleEG/Run2016H-03Feb2017_ver2-v1/MINIAOD	-	-	84344490	root:	-	1.0
DoubleEG_RunH_v3	/DoubleEG/Run2016H-03Feb2017_ver3-v1/MINIAOD	-	-	2460002	root:	-	1.0
#
SingleMu_RunB_v3	/SingleMuon/Run2016B-03Feb2017_ver2-v2/MINIAOD	-	-	158145722	root:	-	1.0
SingleMu_RunC	/SingleMuon/Run2016C-03Feb2017-v1/MINIAOD	-	-	67441308	root:	-	1.0
SingleMu_RunD	/SingleMuon/Run2016D-03Feb2017-v1/MINIAOD	-	-	98017996	root:	-	1.0
SingleMu_RunE	/SingleMuon/Run2016E-03Feb2017-v1/MINIAOD	-	-	90984718	root:	-	1.0
SingleMu_RunF	/SingleMuon/Run2016F-03Feb2017-v1/MINIAOD	-	-	65489554	root:	-	1.0
SingleMu_RunG	/SingleMuon/Run2016G-03Feb2017-v1/MINIAOD	-	-	149916849	root:	-	1.0
SingleMu_RunH_v2	/SingleMuon/Run2016H-03Feb2017_ver2-v1/MINIAOD	-	-	171134793	root:	-	1.0
SingleMu_RunH_v3	/SingleMuon/Run2016H-03Feb2017_ver3-v1/MINIAOD	-	-	4393222	root:	-	1.0
#
#MuEG_RunB_v3	/MuonEG/Run2016B-23Sep2016-v3/MINIAOD	-	-	32727796	root:	-	1.0
#MuEG_RunC	/MuonEG/Run2016C-23Sep2016-v1/MINIAOD	-	-	15405678	root:	-	1.0
#MuEG_RunD	/MuonEG/Run2016D-23Sep2016-v1/MINIAOD	-	-	23482352	root:	-	1.0
#MuEG_RunE	/MuonEG/Run2016E-23Sep2016-v1/MINIAOD	-	-	22519303	root:	-	1.0
#MuEG_RunF	/MuonEG/Run2016F-23Sep2016-v1/MINIAOD	-	-	16002165	root:	-	1.0
#MuEG_RunG	/MuonEG/Run2016G-23Sep2016-v1/MINIAOD	-	-	33854612	root:	-	1.0
#MuEG_RunH_v2	/MuonEG/Run2016H-PromptReco-v2/MINIAOD	-	-	28705853	root:	-	1.0
#MuEG_RunH_v3	/MuonEG/Run2016H-PromptReco-v3/MINIAOD	-	-	770494	root:	-	1.0
#	##################################################
WJetsLNu	/WJetsToLNu_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext2-v1/MINIAODSIM	5.020e+04	1.417e+02	57026058	root:	-	1.0
WZ	/WZ_TuneCUETP8M1_13TeV-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext1-v1/MINIAODSIM	2.344e+01	6.085e-02	2995828	root:	-	1.0
ZZ	/ZZ_TuneCUETP8M1_13TeV-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext1-v1/MINIAODSIM	1.006e+01	1.215e-01	998034	root:	-	1.0
WW	/WW_TuneCUETP8M1_13TeV-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext1-v1/MINIAODSIM	6.425e+01	8.890e-02	6987124	root:	-	1.0
#	##########
TTJets_DiLept_v1	/TTJets_DiLept_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM	8.567e+01	2.215e-01	6094476	root:	-	1.0
TTJets_DiLept_v2	/TTJets_DiLept_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext1-v1/MINIAODSIM	8.567e+01	2.215e-01	24350202	root:	-	1.0
TTJets_DiLept_amcatnlo	/TTJets_Dilept_TuneCUETP8M2T4_13TeV-amcatnloFXFX-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM	7.795e+01	8.998e-01	14529280	root:	-	3.0
TTJets	/TTJets_TuneCUETP8M2T4_13TeV-amcatnloFXFX-pythia8/RunIISummer16MiniAODv2-PUMoriond17_backup_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM	8.317e+02	2.215e-01	43561608	root:	-	3.012935
#	##################
