#WR mass	Nu mass	efficiencyFraction
800	100	1.4
800	200	15.53
800	300	25.76
800	400	30.55
800	500	34.44
800	600	33.1
800	700	24.89
900	100	0.64
900	200	12.56
900	300	21.7
900	400	25.27
900	500	27.35
900	600	25.37
900	700	24.18
900	800	16.29
1000	100	0.47
1000	200	12.73
1000	300	22.32
1000	400	29.35
1000	500	30.88
1000	600	29.8
1000	700	29.07
1000	800	26.31
1000	900	18.66
1100	100	0.33
1100	200	11.39
1100	300	22.64
1100	400	30.45
1100	500	32.23
1100	600	34.28
1100	700	32.95
1100	800	32.73
1100	900	29.81
1100	1000	22.4
1200	100	0.29
1200	200	9.88
1200	300	24
1200	400	30.97
1200	500	35.41
1200	600	36.24
1200	700	37.12
1200	800	35.88
1200	900	36.75
1200	1000	32.03
1200	1100	23.92
1300	100	0.37
1300	200	8.75
1300	300	22.53
1300	400	32.17
1300	500	35.8
1300	600	38.6
1300	700	39.07
1300	800	39.3
1300	900	39.06
1300	1000	37.27
1300	1100	34.36
1300	1200	26.47
1400	100	0.2
1400	200	7.38
1400	300	22.43
1400	400	31.66
1400	500	36.35
1400	600	40.18
1400	700	41.39
1400	800	40.99
1400	900	42.07
1400	1000	40.66
1400	1100	37.91
1400	1200	37.04
1400	1300	28.65
1500	100	0.12
1500	200	6.42
1500	300	20.99
1500	400	31.77
1500	500	37.69
1500	600	40.51
1500	700	42.72
1500	800	43.56
1500	900	44.02
1500	1000	43.31
1500	1100	43.4
1500	1200	41.37
1500	1300	38.91
1500	1400	30.3
1600	100	0.16
1600	200	5.34
1600	300	19.58
1600	400	30.37
1600	500	37.31
1600	600	41.41
1600	700	44.72
1600	800	45.85
1600	900	45.92
1600	1000	46.56
1600	1100	45.84
1600	1200	44.48
1600	1300	43.63
1600	1400	41.45
1600	1500	31.55
1700	100	0.05
1700	200	4.79
1700	300	17.31
1700	400	29.77
1700	500	37.97
1700	600	42.38
1700	700	44.98
1700	800	46.79
1700	900	47.26
1700	1000	48.34
1700	1100	47.81
1700	1200	47.64
1700	1300	46.47
1700	1400	46
1700	1500	43.21
1700	1600	31.99
1800	100	0.08
1800	200	4.21
1800	300	16.29
1800	400	28.44
1800	500	36.94
1800	600	43.35
1800	700	46.26
1800	800	47.07
1800	900	48.67
1800	1000	49.15
1800	1100	48.88
1800	1200	49.85
1800	1300	49.38
1800	1400	49.03
1800	1500	46.75
1800	1600	43.26
1800	1700	33.98
1900	100	0.1
1900	200	3.16
1900	300	14.76
1900	400	27.49
1900	500	37.26
1900	600	43.44
1900	700	45.8
1900	800	48.25
1900	900	49.27
1900	1000	50.56
1900	1100	50.47
1900	1200	51.91
1900	1300	51.35
1900	1400	50.03
1900	1500	49.12
1900	1600	48.25
1900	1700	44.64
1900	1800	35.17
2000	100	0.08
2000	200	3.22
2000	300	13.75
2000	400	26.23
2000	500	36.36
2000	600	42.24
2000	700	45.56
2000	800	48.41
2000	900	50.23
2000	1000	52.14
2000	1100	51.56
2000	1200	52.72
2000	1300	51.73
2000	1400	52.32
2000	1500	50.68
2000	1600	50.19
2000	1700	48.91
2000	1800	46.14
2000	1900	36.41
2100	100	0.08
2100	200	3.11
2100	300	12.56
2100	400	25.91
2100	500	36.89
2100	600	43.32
2100	700	48.54
2100	800	51.04
2100	900	52.36
2100	1000	53.91
2100	1100	55.14
2100	1200	53.7
2100	1300	54.73
2100	1400	53.42
2100	1500	54.01
2100	1600	53.58
2100	1700	53.09
2100	1800	51.59
2100	1900	49.56
2100	2000	40.4
2200	100	0.03
2200	200	2.5
2200	300	11.84
2200	400	24.74
2200	500	35.58
2200	600	43.19
2200	700	48.72
2200	800	52.62
2200	900	52.79
2200	1000	54.38
2200	1100	55.44
2200	1200	56.79
2200	1300	56.41
2200	1400	57.43
2200	1500	55.92
2200	1600	55.8
2200	1700	55.6
2200	1800	54.95
2200	1900	52.97
2200	2000	51.63
2200	2100	44.83
2300	100	0.02
2300	200	2.2
2300	300	11.02
2300	400	23.28
2300	500	35.77
2300	600	42.46
2300	700	47.94
2300	800	51.48
2300	900	54.14
2300	1000	55.37
2300	1100	57.27
2300	1200	58.06
2300	1300	58.22
2300	1400	58.28
2300	1500	58.03
2300	1600	58.05
2300	1700	57.73
2300	1800	57.31
2300	1900	57.42
2300	2000	56.66
2300	2100	53.68
2300	2200	48.5
2400	100	0.03
2400	200	1.89
2400	300	10.27
2400	400	21.41
2400	500	34.07
2400	600	41.22
2400	700	47.92
2400	800	52.07
2400	900	54.88
2400	1000	55.94
2400	1100	57.17
2400	1200	59.41
2400	1300	58.78
2400	1400	58.54
2400	1500	59.63
2400	1600	58.99
2400	1700	58.6
2400	1800	58.36
2400	1900	58.82
2400	2000	58.74
2400	2100	57.82
2400	2200	56.67
2400	2300	50.24
2500	100	0.04
2500	200	1.96
2500	300	8.98
2500	400	20.97
2500	500	31.58
2500	600	41.71
2500	700	47.54
2500	800	51.85
2500	900	54.41
2500	1000	57.91
2500	1100	57.34
2500	1200	58.65
2500	1300	59.6
2500	1400	60.06
2500	1500	60.51
2500	1600	59.58
2500	1700	59.56
2500	1800	60.79
2500	1900	60.49
2500	2000	59.51
2500	2100	59.96
2500	2200	59.02
2500	2300	57.99
2500	2400	52.89
2600	100	0.04
2600	200	1.77
2600	300	8.11
2600	400	18.96
2600	500	30.9
2600	600	40.18
2600	700	46.99
2600	800	51.34
2600	900	53.87
2600	1000	56.58
2600	1100	57.91
2600	1200	59.07
2600	1300	60.65
2600	1400	60.57
2600	1500	61.03
2600	1600	60.52
2600	1700	60.52
2600	1800	60.94
