#WR mass	Nu mass	efficiencyFraction
800	100	1.41
800	200	15.22
800	300	25.1
800	400	31.85
800	500	34.76
800	600	33.03
800	700	24.1
900	100	0.74
900	200	13.66
900	300	23.28
900	400	28.54
900	500	29.48
900	600	28.74
900	700	25.9
900	800	18.35
1000	100	0.6
1000	200	13.13
1000	300	25.61
1000	400	31.48
1000	500	32.86
1000	600	34.48
1000	700	33.48
1000	800	31.12
1000	900	22.72
1100	100	0.53
1100	200	12.05
1100	300	24.39
1100	400	31.47
1100	500	34.11
1100	600	36.06
1100	700	35.87
1100	800	34.99
1100	900	32.1
1100	1000	23.74
1200	100	0.32
1200	200	10.99
1200	300	25.8
1200	400	33.3
1200	500	37.39
1200	600	39.51
1200	700	40.32
1200	800	39.88
1200	900	37.54
1200	1000	35.52
1200	1100	27.43
1300	100	0.18
1300	200	9.22
1300	300	22.74
1300	400	33.26
1300	500	36.62
1300	600	40.22
1300	700	40.68
1300	800	40.21
1300	900	40.48
1300	1000	39.62
1300	1100	35.57
1300	1200	28.4
1400	100	0.15
1400	200	8.55
1400	300	22.63
1400	400	33.21
1400	500	39.47
1400	600	43.22
1400	700	43.67
1400	800	44.2
1400	900	45.79
1400	1000	43.22
1400	1100	43.29
1400	1200	39.94
1400	1300	31.83
1500	100	0.2
1500	200	6.9
1500	300	21.21
1500	400	32.45
1500	500	38.31
1500	600	42.87
1500	700	45.04
1500	800	46.08
1500	900	46.38
1500	1000	45.78
1500	1100	44.67
1500	1200	44.16
1500	1300	40.44
1500	1400	32.41
1600	100	0.17
1600	200	5.75
1600	300	20.82
1600	400	32.84
1600	500	39.37
1600	600	44.49
1600	700	47.05
1600	800	47.75
1600	900	48.33
1600	1000	49.57
1600	1100	48.36
1600	1200	48.05
1600	1300	46.67
1600	1400	43.75
1600	1500	36.25
1700	100	0.1
1700	200	4.92
1700	300	18.36
1700	400	31.3
1700	500	38.84
1700	600	43.54
1700	700	47.72
1700	800	47.6
1700	900	50.23
1700	1000	48.96
1700	1100	48.82
1700	1200	48.42
1700	1300	48.07
1700	1400	46.27
1700	1500	43.75
1700	1600	35.78
1800	100	0.16
1800	200	4.69
1800	300	17.47
1800	400	30.45
1800	500	39.64
1800	600	44.62
1800	700	47.49
1800	800	50.07
1800	900	51.45
1800	1000	52.53
1800	1100	52.27
1800	1200	51.81
1800	1300	51.38
1800	1400	50.92
1800	1500	49.32
1800	1600	46.96
1800	1700	38.77
1900	100	0.05
1900	200	3.91
1900	300	15.65
1900	400	29
1900	500	37.43
1900	600	43.48
1900	700	46.52
1900	800	49.18
1900	900	51.61
1900	1000	51.68
1900	1100	52.45
1900	1200	51.47
1900	1300	51.82
1900	1400	51.24
1900	1500	50.54
1900	1600	48.55
1900	1700	46.2
1900	1800	37.5
2000	100	0.03
2000	200	3.41
2000	300	14.79
2000	400	28.43
2000	500	37.87
2000	600	43.51
2000	700	48.77
2000	800	50.79
2000	900	52.46
2000	1000	54.19
2000	1100	54.77
2000	1200	54.39
2000	1300	55.13
2000	1400	54.56
2000	1500	53.4
2000	1600	53.34
2000	1700	53.02
2000	1800	50.15
2000	1900	40.93
2100	100	0.08
2100	200	2.7
2100	300	12.72
2100	400	25.49
2100	500	36.7
2100	600	44.18
2100	700	48.13
2100	800	51.54
2100	900	52.85
2100	1000	54.88
2100	1100	55.2
2100	1200	55.13
2100	1300	56.12
2100	1400	55.93
2100	1500	54.81
2100	1600	55.44
2100	1700	55.1
2100	1800	53.44
2100	1900	50.38
2100	2000	42.9
2200	100	0.03
2200	200	2.3
2200	300	11.98
2200	400	24.78
2200	500	36.09
2200	600	44.24
2200	700	47.84
2200	800	52.08
2200	900	54.77
2200	1000	55.61
2200	1100	56.55
2200	1200	57.71
2200	1300	57.69
2200	1400	58.07
2200	1500	57.75
2200	1600	57.55
2200	1700	56.36
2200	1800	55.43
2200	1900	55.82
2200	2000	53.33
